"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","correct_answer","trap1_item","ID"
"1",338,4,3,4,3,4,3,3,4,4,4,4,5,5,4,5,4,5,4,4,5,1,1,2,2,1,2,4,4,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,4,2,4,1,2,NA,2,3,2,2,2,"王",NA,"","phase_014_subj_28"
"2",446,4,4,4,4,4,4,3,2,4,4,5,4,4,4,4,4,5,4,5,5,2,1,2,2,2,1,1,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,2,2,2,2,NA,4,2,1,1,2,"王",NA,"","phase_014_subj_42"
"3",452,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,4,5,4,5,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,3,2,1,1,5,2,"张",NA,"","phase_014_subj_44"
"4",686,2,3,3,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,2,2,3,4,4,4,5,4,4,2,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,3,4,4,4,3,1,2,3,2,3,3,"SY",NA,"","phase_014_subj_59"
"5",83,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,4,5,5,4,4,4,4,2,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,4,2,4,2,3,4,4,2,2,"徐",NA,"","phase_014_subj_4"
"6",159,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,3,4,4,4,4,4,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5,4,4,2,5,1,3,4,4,2,2,"潘",NA,"","phase_014_subj_13"
"7",328,3,3,4,3,3,3,3,4,3,3,4,4,5,4,4,4,4,5,4,4,2,2,1,1,2,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,4,1,2,1,2,1,4,5,4,5,2,"徐",NA,"","phase_014_subj_27"
"8",281,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,5,2,4,1,4,NA,4,2,1,1,1,"岳",NA,"","phase_014_subj_23"
"9",356,4,3,4,3,4,3,3,4,4,4,4,4,2,4,4,4,5,5,4,5,2,2,2,2,2,2,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,4,5,4,4,2,2,4,2,4,1,2,"吴",NA,"","phase_014_subj_29"
"10",524,3,4,4,3,4,3,4,4,4,4,5,5,5,4,4,4,4,4,4,4,2,4,3,2,3,2,2,3,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,4,2,2,3,3,1,2,4,2,3,2,"薄",NA,"","phase_014_subj_48"
