"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","identity","Image","word","condition","task_id","screen_id","time_stamp","person","valence","domain","math","status","duration","question_order","trap2_item"
"7060","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","7061","0.0-0.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","7062","0.0-1.0-0.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26516","","[{""name"":""Sex"",""value"":""1""},{""name"":""friend_name"",""value"":""贺""},{""name"":""ParticipantID"",""value"":""501""}]","survey-html-form","2","33580","0.0-1.0-1.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","33894","0.0-2.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","35889","0.0-3.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8232.099999904633","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""4""}","survey-template","5","44126","0.0-4.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""4""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[1955.7999997138977,2893.699999809265,3743.5,5205.699999809265,7353.299999713898]","[]","[1955.7999997138977,2893.699999809265,3743.5,5205.699999809265,6278.699999809265,7353.299999713898,8231.299999713898]","0.6","0.5","0","","","","","","","","","","","","","","","","","","","","","","",""
"17095.699999809265","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4""}","survey-template","6","61224","0.0-5.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","{""Q01"":""4"",""Q02"":""3"",""Q03"":""4"",""Q04"":""4"",""Q05"":""4"",""Q06"":""4""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[2042.8999996185303,8689.299999713898,9690.199999809265,12490.799999713898,13465,16319.299999713898]","[]","[2042.8999996185303,6313,7701.299999713898,8689.299999713898,9690.199999809265,12490.799999713898,13465,16319.299999713898,17095]","0.5","0.4","0","","","","","","","","","","","","","","","","","","","","","","",""
"15992","","{""Q01"":""1"",""Q02"":""-1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1""}","survey-template","7","77219","0.0-6.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","{""Q01"":""1"",""Q02"":""-1"",""Q03"":""1"",""Q04"":""1"",""Q05"":""1"",""Q06"":""1"",""Q07"":""2"",""Q08"":""1""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[2206.2999997138977,4306.199999809265,6822.299999713898,8448.199999809265,9956.299999713898,11308.299999713898,13870,15153.199999809265]","[]","[2206.2999997138977,4306.199999809265,6822.299999713898,8448.199999809265,9956.299999713898,11308.299999713898,13870,15153.199999809265,15990.799999713898]","0.75","0.2857142857142857","0","","","","","","","","","","","","","","","","","","","","","","",""
"108830","","","instructions","8","186051","0.0-7.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":108830}]","","","","","","","","","","","","","","","","","","","","","",""
"104884","","","instructions","9","290937","0.0-8.0-1.0-0.0","4","5","5","5","4","4","3","4","4","4","4","1","-1","1","1","1","1","2","1","4","5","5","5","4","4","5","5","5","4","8","8","7","7","6","8","7","8","8","5","6","4","6","6","4","5","1","6","3","1","5","3","4","6","6","6","5","5","4","6","5","5","7","6","6","5","6","6","6","7","7","5","3","6","6","6","7","6","6","6","781518032190312450","贺","501","Female","[""坏她"",""坏我"",""好她"",""好我""]","[""弱她"",""弱我"",""强她"",""强我""]","","","","","","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":8311},{""page_index"":1,""viewing_time"":76398},{""page_index"":2,""viewing_time"":14532},{""page_index"":3,""viewing_time"":5644}]","","","","","","","","","","","","","","","","","","","","","",""
