"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",576,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
    </table><br/>","","","","","104082",NA,"0","",NA,NA,2,1,"phase_010_subj_19"
"2",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","1","659",659,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"3",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","1","460",460,"i","true",NA,NA,NA,NA,"phase_010_subj_19"
"4",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","1","923",923,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"5",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","1","715",715,"i","true",NA,NA,NA,NA,"phase_010_subj_19"
"6",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","1","450",450,"i","true",NA,NA,NA,NA,"phase_010_subj_19"
"7",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","1","829",829,"i","true",NA,NA,NA,NA,"phase_010_subj_19"
"8",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","1","442",442,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"9",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","1","563",563,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"10",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","1","1043",1043,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"11",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","1","531",531,"i","true",NA,NA,NA,NA,"phase_010_subj_19"
"12",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","1","811",811,"e","true",NA,NA,NA,NA,"phase_010_subj_19"
"13",576,11,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","1","443",443,"e","false",NA,NA,NA,NA,"phase_010_subj_19"
