"","ParticipantID","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","Sex","ID"
"1",574,6,7,5,6,7,5,5,4,4,5,4,1,-3,1,2,2,1,3,2,4,2,5,2,4,2,2,1,4,5,4,7,5,4,4,6,4,6,7,3,6,5,5,2,3,6,3,6,5,6,3,7,5,3,3,6,6,6,6,3,6,5,2,6,5,6,6,7,5,6,3,3,3,7,2,5,6,2,7,"Female","phase_007_subj_17"
"2",170,7,6,6,6,6,5,4,5,5,5,5,3,3,3,2,2,3,3,2,5,5,5,5,4,4,5,4,5,4,6,6,7,7,7,5,6,7,6,7,6,6,7,6,7,6,1,6,6,6,6,6,6,6,4,6,7,7,6,7,7,7,5,7,7,6,7,7,7,7,5,7,7,6,7,7,7,6,7,"Male","phase_007_subj_6"
"3",14,7,6,7,6,6,4,4,5,5,5,5,3,3,2,3,2,3,3,3,5,4,5,5,3,4,4,4,5,4,5,5,7,7,6,5,5,5,6,6,6,1,7,6,6,5,1,6,7,5,6,6,7,6,4,7,7,7,6,6,7,7,6,7,7,6,7,7,7,7,6,7,7,7,7,7,7,6,6,"Male","phase_007_subj_1"
"4",221,7,5,6,7,5,4,4,4,5,4,5,1,-2,2,1,3,2,1,3,4,5,5,5,4,4,5,5,4,5,8,6,8,7,6,9,6,8,7,6,6,5,7,5,6,6,7,5,7,5,6,1,6,6,5,7,7,5,6,3,7,2,5,6,6,5,6,7,6,7,7,5,1,6,6,7,7,6,5,"Male","phase_007_subj_8"
"5",397,3,2,2,3,2,5,3,4,5,5,5,1,-1,-2,1,-2,1,1,-2,5,4,4,5,4,4,2,2,4,2,4,5,6,7,4,4,3,4,5,3,2,2,3,2,2,3,3,3,2,2,2,6,3,2,2,2,6,3,3,2,2,3,3,2,3,3,5,2,6,5,2,6,5,5,2,2,5,2,1,"Female","phase_007_subj_11"
"6",88,6,5,6,5,5,4,4,4,4,4,4,2,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,6,7,7,7,6,7,6,7,7,5,6,3,5,5,5,3,5,5,5,5,5,5,5,5,6,5,5,5,5,3,5,3,5,3,5,6,5,6,5,5,6,6,5,3,5,6,5,5,3,"Female","phase_007_subj_4"
"7",601,5,7,5,6,6,4,4,4,5,4,4,-2,-3,2,1,3,2,1,2,4,3,4,5,4,5,4,2,4,5,6,8,7,8,5,9,6,8,6,5,6,5,7,5,6,6,6,5,6,5,6,1,7,5,6,6,5,7,5,3,7,6,5,5,6,6,6,6,7,7,6,5,2,7,5,5,6,5,1,"Male","phase_007_subj_19"
"8",534,7,7,7,7,7,4,4,4,5,5,5,2,1,2,3,1,3,3,3,5,5,5,5,5,4,4,5,5,5,5,5,5,5,7,7,7,5,5,5,1,1,7,5,1,7,7,7,7,7,1,7,2,4,5,5,6,6,3,3,7,2,1,1,7,1,7,1,7,1,1,1,1,1,1,1,7,1,7,"Male","phase_007_subj_16"
"9",447,6,6,4,4,3,4,2,4,2,3,5,1,-1,-1,1,-1,1,1,1,4,4,5,5,4,5,5,5,4,4,6,7,4,7,4,2,5,4,6,6,5,4,3,6,2,4,1,5,3,5,3,6,1,4,4,5,2,6,4,2,5,4,2,1,3,3,5,2,2,6,2,4,1,1,3,2,6,5,3,"Male","phase_007_subj_13"
"10",587,5,4,5,2,1,5,3,4,5,5,4,1,-1,2,2,1,1,2,3,4,3,5,4,2,4,5,4,5,4,4,7,7,7,6,6,6,5,8,6,3,2,4,5,5,6,6,5,3,3,3,5,2,4,3,4,5,2,5,3,3,2,1,3,5,2,3,3,6,6,3,7,3,3,3,2,5,3,3,"Female","phase_007_subj_18"
