"V1","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID","trap1","correct_answer","trap1_item"
1,671,3,4,3,3,4,4,3,4,4,3,4,5,4,4,5,5,4,5,4,4,1,2,2,1,1,2,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,2,1,2,1,1,2,4,2,"韩","phase_003_subj_13",NA,NA,NA
2,60,4,3,4,4,4,3,4,4,4,3,5,4,5,4,5,5,5,4,4,5,2,1,3,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,1,4,2,2,4,"王","phase_003_subj_2",NA,NA,NA
3,460,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,5,3,4,5,4,3,2,2,3,2,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,4,1,1,2,2,4,4,3,4,2,"庞","phase_003_subj_10",NA,NA,NA
4,148,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,5,1,1,1,1,1,3,1,3,1,"郭","phase_003_subj_4",NA,NA,NA
5,216,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,5,1,1,1,1,1,3,1,3,1,"周","phase_003_subj_6",NA,NA,NA
6,693,4,3,4,3,4,3,2,2,3,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,3,4,4,5,4,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,4,2,5,2,4,2,4,2,5,4,"刘","phase_003_subj_15",NA,NA,NA
7,584,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,2,2,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,4,1,3,2,2,4,4,3,2,1,"王","phase_003_subj_12",NA,NA,NA
8,178,3,3,1,3,1,3,2,1,4,4,3,1,2,3,3,3,3,2,3,2,2,1,2,2,3,2,2,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,5,4,3,3,3,2,3,4,4,2,"李","phase_003_subj_5",NA,NA,NA
9,396,3,3,3,3,3,3,3,3,3,4,3,2,2,4,1,4,2,3,3,2,2,3,2,3,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,3,4,4,3,1,"叶","phase_003_subj_8",NA,NA,NA
10,403,3,4,4,3,3,3,3,1,3,4,5,4,2,4,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,2,4,2,5,4,4,4,5,4,"刘","phase_003_subj_9",NA,NA,NA
11,60,3,3,4,3,3,3,1,3,3,3,4,4,4,4,2,4,4,4,4,4,2,3,1,2,3,2,2,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,5,2,4,2,5,4,4,5,3,2,"郭","phase_003_subj_3",NA,NA,NA
12,569,3,3,4,3,3,3,3,3,3,3,4,4,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,5,1,4,1,1,2,2,4,4,1,"张","phase_003_subj_11",NA,NA,NA
13,49,4,4,1,4,4,3,3,4,4,4,4,5,5,4,5,4,5,5,4,4,2,1,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,2,4,2,1,4,4,3,2,2,"刘","phase_003_subj_1",NA,NA,NA
14,20231101,4,4,4,4,4,4,4,4,4,4,5,5,3,5,4,5,5,5,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,5,3,3,1,1,5,3,5,4,1,"刘","phase_003_subj_14",NA,NA,NA
15,681,2,2,3,3,2,2,2,2,2,2,3,2,1,3,2,2,2,2,2,2,2,2,2,2,2,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,3,4,5,5,4,3,5,4,2,"郭","phase_003_subj_14",NA,NA,NA
