"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","view_history","identity","duration","Image","condition","question_order","trap2_item"
"3305","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","3307","0.0-0.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","3308","0.0-1.0-0.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16959","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""郭""},{""name"":""ParticipantID"",""value"":""361""}]","survey-html-form","2","20267","0.0-1.0-1.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","20651","0.0-2.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","21887","0.0-3.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8852.400000095367","","{""Q01"":""7"",""Q02"":""6"",""Q03"":""7"",""Q04"":""7"",""Q05"":""6""}","survey-template","5","30741","0.0-4.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","{""Q01"":""7"",""Q02"":""6"",""Q03"":""7"",""Q04"":""7"",""Q05"":""6""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05""]","[1851.3000000715256,2875.3000000715256,4891.300000071526,5923.300000071526,6691.200000047684]","[]","[1851.3000000715256,2875.3000000715256,3843.2000000476837,4891.300000071526,5923.300000071526,6691.200000047684,8851.600000023842]","0.6","0.75","0","","","","","","","","","","","","","","","","","","","","","","",""
"10564.599999904633","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","survey-template","6","41309","0.0-5.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","{""Q01"":""5"",""Q02"":""5"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06""]","[2035.8999999761581,4420,5563.899999976158,7027.799999952316,7963.799999952316,9475.899999976158]","[]","[2035.8999999761581,4420,5563.899999976158,7027.799999952316,7963.799999952316,9475.899999976158,10563.799999952316]","0.5","0.8","0","","","","","","","","","","","","","","","","","","","","","","",""
"14654.299999952316","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2""}","survey-template","7","55966","0.0-6.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""1"",""Q04"":""2"",""Q05"":""1"",""Q06"":""2"",""Q07"":""2"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q06"",""Q07"",""Q08""]","[3749.100000023842,4741.199999928474,5885,8413,9924.899999976158,11220.699999928474,12772.899999976158,13773]","[]","[2669,3333,3749.100000023842,4741.199999928474,5885,8413,9924.899999976158,11220.699999928474,12772.899999976158,13773,14653.100000023842]","0.625","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","","",""
"53180","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> j 键</span>，不符合按<span style=""color:red""> f 键</span></p>","0","html-button-response","8","109148","0.0-7.0-0.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Mon Dec 25 2023 10:42:15 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"837","","f","psychophysics","9","110988","0.0-7.0-1.0-0.0","7","6","7","7","6","5","5","5","5","5","5","2","1","1","2","1","2","2","2","5","5","5","5","4","5","4","4","4","5","6","6","5","7","6","5","6","6","6","6","7","6","7","7","7","5","1","6","7","1","6","6","7","6","7","6","6","7","6","7","6","7","7","6","6","7","7","7","7","7","7","6","7","7","7","7","7","7","6","6","598867196789129216","郭","361","Male","[""好我"",""坏我"",""坏他"",""好他""]","[""强我"",""弱我"",""弱他"",""强他""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","f","16.663636363636364","768","428","朋友","徇私","Negative","morality","","","","","","","","","","",""
