"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","swb_1","swb_2","swb_3","swb_4","swb_5","LOT_1","LOT_2","LOT_3","LOT_4","LOT_5","LOT_6","IPC_1","IPC_2","IPC_3","IPC_4","IPC_5","IPC_6","IPC_7","IPC_8","MorIden_1","MorIden_2","MorIden_3","MorIden_4","MorIden_5","MorIden_6","MorIden_7","MorIden_8","MorIden_9","MorIden_10","moralSeImag_1","moralSeImag_2","moralSeImag_3","moralSeImag_4","moralSeImag_5","moralSeImag_6","moralSeImag_7","moralSeImag_8","moralSeImag_9","sde_1","sde_2","sde_3","sde_4","sde_5","sde_6","sde_7","sde_8","sde_9","sde_10","trap2","sde_11","sde_12","sde_13","sde_14","sde_15","sde_16","sde_17","sde_18","sde_19","sde_20","IM_1","IM_2","IM_3","IM_4","IM_5","IM_6","IM_7","IM_8","IM_9","IM_10","IM_11","IM_12","IM_13","IM_14","IM_15","IM_16","IM_17","IM_18","IM_19","IM_20","subj_idx","friend_name","ParticipantID","Sex","Word","Word2","value","success","timeout","failed_images","failed_audio","failed_video","user_agent","responses","item_order","radio_event_ids","radio_event_times","key_event_times","mouse_event_times","straightlining","zigzagging","honeypot","task_id","screen_id","time_stamp","response_type","key_press","avg_frame_time","center_x","center_y","person","word","valence","domain","math","correct_response","correct","status","identity","view_history","duration","Image","condition","question_order","trap2_item"
"5643","
   <p><div style='color:white; font-size: 25px'>您好，欢迎参加本次实验。</div></p>
   <p><div style='color:white; font-size: 25px'>为充分保障您的权利，请确保您已经知晓并同意《参与实验同意书》以及《数据公开知情同意书》。</div></p>
   <p><div style='color:white; font-size: 25px'>如果您未见过上述内容，请咨询实验员。</div></p>
   <p style='color:white; font-size: 25px'>如果您选择继续实验，则表示您已经清楚两份知情同意书的内容并同意。</p>
   <p><div style = ""color: pink;font-size:30px;"">请确保您记得day0的实验编号，您将在本次实验输入该编号，若您忘记，请咨询实验员后作答。</div></p>
   <p><div style = ""color:lightblue;font-size:25px;"">请您尽可能认真地作答，我们将依据您在各问卷和按键任务中的作答质量发放报酬。</div></p>
   <p> <div style = ""color: green""><按空格键至下页></div> </p>
   "," ","html-keyboard-response","0","5645","0.0-0.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","call-function","1","5647","0.0-1.0-0.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39109","","[{""name"":""Sex"",""value"":""0""},{""name"":""friend_name"",""value"":""朱""},{""name"":""ParticipantID"",""value"":""106""}]","survey-html-form","2","44757","0.0-1.0-1.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","preload","3","45065","0.0-2.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","fullscreen","4","48538","0.0-3.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","true","","","","","{}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17090.300000071526","","{""Q01"":""7"",""Q02"":""7"",""Q03"":""7"",""Q04"":""6"",""Q05"":""7""}","survey-template","5","65630","0.0-4.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","{""Q01"":""7"",""Q02"":""7"",""Q03"":""7"",""Q04"":""6"",""Q05"":""7""}","[0,1,2,3,4]","[""Q01"",""Q02"",""Q03"",""Q04"",""Q05"",""Q05""]","[2745.600000023842,9273.200000047684,10145.200000047684,11953.300000071526,13209.300000071526,15833.200000047684]","[]","[2745.600000023842,9273.200000047684,10145.200000047684,10793.200000047684,11953.300000071526,13209.300000071526,14465.200000047684,15833.200000047684,17089.200000047684]","0.8","0.5","0","","","","","","","","","","","","","","","","","","","","","","",""
"43556.300000071526","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","survey-template","6","109189","0.0-5.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","{""Q01"":""5"",""Q02"":""4"",""Q03"":""5"",""Q04"":""5"",""Q05"":""5"",""Q06"":""5""}","[0,1,2,3,4,5]","[""Q03"",""Q05"",""Q04"",""Q06"",""Q01"",""Q02"",""Q02"",""Q02""]","[2283.399999976158,5107.800000071526,5787.5,7003.300000071526,10259.200000047684,11131.300000071526,16555.899999976158,17915.300000071526]","[]","[2283.399999976158,5107.800000071526,5787.5,7003.300000071526,10259.200000047684,11131.300000071526,16555.899999976158,17915.300000071526,43555.200000047684]","0.5","0.4","0","","","","","","","","","","","","","","","","","","","","","","",""
"51453.700000047684","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2""}","survey-template","7","160646","0.0-6.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","{""Q01"":""2"",""Q02"":""1"",""Q03"":""2"",""Q04"":""2"",""Q05"":""2"",""Q06"":""2"",""Q07"":""1"",""Q08"":""2""}","[0,1,2,3,4,5,6,7]","[""Q06"",""Q08"",""Q07"",""Q04"",""Q05"",""Q03"",""Q02"",""Q02"",""Q01""]","[4251.800000071526,5867.900000095367,7587.800000071526,9995.800000071526,11707.900000095367,12852.900000095367,13301.100000023842,14340.100000023842,15204]","[]","[3756.8000000715256,4251.800000071526,5867.900000095367,7587.800000071526,9995.800000071526,11707.900000095367,12852.900000095367,13301.100000023842,14340.100000023842,15204,51452]","0.75","0.5714285714285714","0","","","","","","","","","","","","","","","","","","","","","","",""
"2563","
    <p><div style='color:white;font-size:35px; line-height:20px;'>词汇评估任务</div></p><br>
    <p><div style='color:white;font-size:25px; line-height:20px;'>请再次回忆该亲密的朋友，你们至少2年前就认识了，并且最近2年经常见面。</div></p>
    <p><div style='color:white;font-size:25px; line-height:20px;'>在本实验中，您将会看到一些形容词。</div></p>
    <p><div style='color:yellow;font-size:25px; line-height:20px;'>您的任务是判断这些形容词是否符合对您自己或您的朋友的描述。</div></p><p style='font-size:35px'>符合按<span style=""color:lightgreen""> f 键</span>，不符合按<span style=""color:red""> j 键</span></p>","0","html-button-response","8","163212","0.0-7.0-0.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","","","","","","","","","","SRET_EW","EW_instructions","Mon Dec 25 2023 17:30:28 GMT+0800 (中国标准时间)","","","","","","","","","","","","","","","","","","","",""
"1404","","j","psychophysics","9","165621","0.0-7.0-1.0-0.0","7","7","7","6","7","5","4","5","5","5","5","2","1","2","2","2","2","1","2","5","5","5","5","4","4","5","4","5","5","6","6","6","8","7","6","6","7","7","6","7","6","7","7","7","6","1","7","6","1","6","7","7","7","6","6","7","7","6","7","6","7","7","7","6","7","7","7","7","7","7","6","7","7","7","7","7","7","5","7","656564688670162944","朱","106","Male","[""坏我"",""坏他"",""好我"",""好他""]","[""弱我"",""弱他"",""强我"",""强他""]","","","","","","","","no","","","","","","","","","SRET_EW","EW_practice","","key","j","16.665041379310225","768","428","朋友","徇私","Negative","morality","","","","","","","","","","",""
