"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"1",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","null","null","j","null",NA,"moral","positive","self","moral_self_match","phase_003_subj_13"
"2",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好她","nonmatch","f","nonmatch","f","632",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"3",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","好我","nonmatch","f","nonmatch","f","940",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"4",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","坏她","nonmatch","j","match","f","894",0,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"5",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","null","null","j","null",NA,"moral","negative","self","moral_self_match","phase_003_subj_13"
"6",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","696",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"7",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","坏我","nonmatch","f","nonmatch","f","1107",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"8",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏她","nonmatch","j","match","f","947",0,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"9",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","j","match","j","1163",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"10",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","f","nonmatch","j","883",0,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"11",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","j","match","j","815",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"12",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","坏我","nonmatch","f","nonmatch","f","909",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"13",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏我","nonmatch","f","nonmatch","f","1086",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"14",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","好她","nonmatch","j","match","f","816",0,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"15",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","null","null","j","null",NA,"moral","negative","self","moral_self_match","phase_003_subj_13"
"16",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","833",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"17",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","j","match","j","850",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"18",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","824",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"19",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","好她","nonmatch","f","nonmatch","f","965",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"20",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","坏她","nonmatch","f","nonmatch","f","930",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"21",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","好我","nonmatch","j","match","f","824",0,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"22",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好我","nonmatch","f","nonmatch","f","943",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"23",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","f","nonmatch","j","935",0,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"24",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","j","match","j","956",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"25",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","j","match","j","751",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"26",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏她","nonmatch","f","nonmatch","f","787",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"27",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","j","match","j","912",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"28",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","f","nonmatch","j","1159",0,"moral","positive","self","moral_self_match","phase_003_subj_13"
"29",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","坏她","nonmatch","j","match","f","966",0,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"30",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","1146",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"31",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好她","nonmatch","j","match","f","1065",0,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"32",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","好我","match","j","match","j","955",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"33",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","好我","nonmatch","f","nonmatch","f","870",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"34",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","j","match","j","623",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"35",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","1025",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"36",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","好她","nonmatch","f","nonmatch","f","1108",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"37",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","j","match","j","780",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"38",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏我","nonmatch","f","nonmatch","f","1013",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"39",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","坏她","nonmatch","f","nonmatch","f","881",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"40",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","好她","nonmatch","null","null","f","null",NA,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"41",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","坏她","match","j","match","j","843",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"42",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","f","nonmatch","j","1023",0,"moral","negative","self","moral_self_match","phase_003_subj_13"
"43",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","坏我","nonmatch","f","nonmatch","f","925",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"44",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","circle","坏她","好我","nonmatch","f","nonmatch","f","889",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"45",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好我","nonmatch","f","nonmatch","f","1045",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"46",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","hexagon","好我","坏我","nonmatch","j","match","f","781",0,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"47",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","diamond","好她","好她","match","j","match","j","1030",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"48",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","prac_ALT2_moral","practice_moral","triangle","坏我","坏我","match","j","match","j","1083",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"49",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","783",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"50",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","好我","nonmatch","f","nonmatch","f","908",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"51",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","790",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"52",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","好她","nonmatch","f","nonmatch","f","1124",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"53",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好她","nonmatch","j","match","f","1049",0,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"54",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","好她","nonmatch","null","null","f","null",NA,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"55",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","坏我","nonmatch","j","match","f","873",0,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"56",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","j","match","j","1105",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"57",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏她","nonmatch","f","nonmatch","f","873",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"58",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","1095",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"59",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏我","nonmatch","f","nonmatch","f","835",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"60",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","null","null","j","null",NA,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"61",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","j","match","j","624",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"62",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","865",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"63",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","f","nonmatch","j","984",0,"moral","negative","self","moral_self_match","phase_003_subj_13"
"64",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","1076",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"65",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","1079",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"66",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好我","nonmatch","null","null","f","null",NA,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"67",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","坏她","nonmatch","j","match","f","949",0,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"68",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","817",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"69",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","好我","nonmatch","j","match","f","1009",0,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"70",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏她","nonmatch","j","match","f","938",0,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"71",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","862",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"72",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏我","nonmatch","f","nonmatch","f","1140",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"73",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","好我","nonmatch","f","nonmatch","f","926",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"74",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","1093",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"75",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","984",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"76",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏我","nonmatch","f","nonmatch","f","805",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"77",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","790",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"78",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","1029",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"79",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","635",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"80",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","null","null","j","null",NA,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"81",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏她","nonmatch","f","nonmatch","f","901",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"82",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","坏我","nonmatch","f","nonmatch","f","1052",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"83",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","好我","nonmatch","f","nonmatch","f","915",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"84",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","好她","nonmatch","j","match","f","961",0,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"85",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏她","nonmatch","f","nonmatch","f","1049",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"86",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","995",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"87",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏我","nonmatch","f","nonmatch","f","721",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"88",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","f","nonmatch","j","1051",0,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"89",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","好她","nonmatch","f","nonmatch","f","937",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
"90",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","1036",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"91",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好我","nonmatch","f","nonmatch","f","959",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"92",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","j","match","j","771",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"93",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","坏她","nonmatch","j","match","f","716",0,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"94",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好她","nonmatch","f","nonmatch","f","817",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"95",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","932",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"96",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","j","match","j","1063",1,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"97",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","f","nonmatch","j","1192",0,"moral","negative","self","moral_self_match","phase_003_subj_13"
"98",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","785",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"99",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏她","nonmatch","f","nonmatch","f","936",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"100",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","j","match","j","955",1,"moral","positive","self","moral_self_match","phase_003_subj_13"
"101",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","f","nonmatch","j","858",0,"moral","positive","self","moral_self_match","phase_003_subj_13"
"102",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","坏我","nonmatch","f","nonmatch","f","1040",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"103",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好她","nonmatch","j","match","f","1067",0,"moral","positive","self","moral_self_nonmatch","phase_003_subj_13"
"104",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好我","nonmatch","f","nonmatch","f","904",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_13"
"105",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","坏她","match","j","match","j","817",1,"moral","negative","friend","moral_friend_match","phase_003_subj_13"
"106",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","diamond","好她","好她","match","f","nonmatch","j","1000",0,"moral","positive","friend","moral_friend_match","phase_003_subj_13"
"107",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","坏我","match","j","match","j","908",1,"moral","negative","self","moral_self_match","phase_003_subj_13"
"108",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","hexagon","好我","好我","match","f","nonmatch","j","1033",0,"moral","positive","self","moral_self_match","phase_003_subj_13"
"109",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","circle","坏她","好我","nonmatch","f","nonmatch","f","915",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_13"
"110",671,"Female","[""坏她"",""好她"",""坏我"",""好我""]","[""弱她"",""强她"",""弱我"",""强我""]","ALT2","moral","triangle","坏我","好我","nonmatch","j","match","f","1112",0,"moral","negative","self","moral_self_nonmatch","phase_003_subj_13"
