"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","correct_answer","trap1_item","ID"
"1",412,2,2,3,2,2,2,3,2,2,4,3,4,4,2,3,3,2,2,3,2,4,4,4,4,4,4,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,3,4,4,5,3,2,NA,"","phase_016_subj_53"
"2",11,3,3,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,4,4,2,3,3,4,3,4,3,4,3,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,5,2,2,5,2,2,4,4,2,4,3,NA,"","phase_016_subj_2"
"3",347,3,3,3,3,3,3,2,1,3,3,3,2,2,3,1,3,2,2,2,2,5,5,5,5,4,5,5,5,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,4,4,4,1,4,1,5,5,5,2,2,NA,"","phase_016_subj_44"
"4",407,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,4,2,2,2,2,2,3,4,2,4,2,NA,"","phase_016_subj_52"
"5",691,3,3,3,3,2,3,3,4,3,3,4,2,2,3,4,3,4,4,4,3,2,1,1,1,1,1,4,4,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,4,1,3,3,1,1,3,1,1,3,1,NA,"","phase_016_subj_83"
"6",451,2,2,2,2,2,2,1,2,2,3,4,2,1,2,2,2,2,1,3,3,5,4,5,4,4,5,5,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,5,2,5,NA,4,2,2,1,1,NA,"","phase_016_subj_58"
"7",654,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,4,3,3,3,2,2,2,3,2,3,2,2,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,2,4,3,NA,4,2,1,2,1,NA,"","phase_016_subj_75"
"8",592,3,3,4,4,4,3,3,4,4,4,4,5,5,4,5,4,5,5,4,5,2,1,2,2,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,1,2,1,3,1,1,1,2,1,NA,"","phase_016_subj_68"
"9",386,3,4,4,4,4,4,4,4,4,4,4,4,2,2,5,4,5,4,5,5,2,2,2,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,5,4,2,4,5,5,4,4,NA,"","phase_016_subj_48"
"10",122,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,4,5,4,4,4,4,5,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,4,3,4,1,3,3,2,2,2,NA,"","phase_016_subj_14"
"11",197,3,3,3,3,3,4,4,3,4,3,4,4,3,4,4,4,4,4,4,5,4,5,4,4,3,4,4,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,2,4,4,1,4,4,5,4,5,NA,"","phase_016_subj_28"
"12",274,3,4,4,3,4,4,3,3,4,3,4,4,5,4,4,4,4,5,4,4,2,1,2,2,1,2,2,4,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,4,2,2,1,2,1,2,4,2,3,2,NA,"","phase_016_subj_33"
"13",390,3,3,3,3,3,3,3,3,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,2,1,2,4,5,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,4,3,2,2,4,5,4,4,2,2,2,NA,"","phase_016_subj_49"
"14",219,4,3,4,3,3,3,4,3,4,4,4,4,3,3,2,5,4,2,3,5,2,4,3,4,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,3,1,5,4,4,2,1,1,NA,"","phase_016_subj_29"
"15",574,4,4,3,3,2,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,4,5,3,3,3,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,4,3,4,5,4,4,4,3,2,NA,"","phase_016_subj_66"
